narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-24 15:53:44.4	2018-08-24 15:53:52.2	0:00:08	bottom	N	
asgeir	2018-08-24 16:45:29.9	2018-08-24 16:45:41.4	0:00:12	descent	N	
asgeir	2018-08-24 17:07:31.8	2018-08-24 17:07:54.4	0:00:23	descent	N	
asgeir	2018-08-24 17:17:16.8	2018-08-24 17:17:27.0	0:00:10	bottom	N	
asgeir	2018-08-24 17:28:42.3	2018-08-24 17:28:49.6	0:00:07	bottom	N	
asgeir	2018-08-24 17:31:02.3	2018-08-24 17:31:09.1	0:00:07	bottom	N	
asgeir	2018-08-24 17:32:11.7	2018-08-24 17:32:17.8	0:00:06	bottom	N	
asgeir	2018-08-24 17:34:55.2	2018-08-24 17:35:13.3	0:00:18	ascent	N	
asgeir	2018-08-24 17:39:01.1	2018-08-24 17:39:06.6	0:00:06	descent	N	
asgeir	2018-08-24 17:46:06.9	2018-08-24 17:46:13.1	0:00:06	bottom	N	
asgeir	2018-08-24 18:05:14.7	2018-08-24 18:05:22.0	0:00:07	bottom	N	
asgeir	2018-08-24 18:18:37.7	2018-08-24 18:18:49.5	0:00:12	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 18:32:49.3	2018-08-24 18:33:07.2	0:00:18	bottom	N	
asgeir	2018-08-24 18:35:18.6	2018-08-24 18:35:43.4	0:00:25	bottom	N	i feel pretty good about this one 
asgeir	2018-08-24 18:45:06.6	2018-08-24 18:45:17.1	0:00:11	descent	N	
asgeir	2018-08-24 18:45:59.9	2018-08-24 18:46:09.8	0:00:10	descent	N	
asgeir	2018-08-24 18:46:22.4	2018-08-24 18:46:29.0	0:00:07	descent	N	
asgeir	2018-08-24 18:47:32.7	2018-08-24 18:47:55.0	0:00:22	descent	N	i feel pretty good about this one
asgeir	2018-08-24 19:02:13.8	2018-08-24 19:02:28.9	0:00:15	descent	N	
asgeir	2018-08-24 19:06:24.3	2018-08-24 19:06:35.4	0:00:11	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 19:06:57.5	2018-08-24 19:07:13.3	0:00:16	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 19:09:08.6	2018-08-24 19:09:16.6	0:00:08	bottom	N	
asgeir	2018-08-24 19:23:50.0	2018-08-24 19:24:28.4	0:00:38	descent	N	
asgeir	2018-08-24 19:25:01.8	2018-08-24 19:25:15.0	0:00:13	descent	N	
asgeir	2018-08-24 19:25:21.4	2018-08-24 19:25:31.9	0:00:11	descent	N	
asgeir	2018-08-24 19:26:31.1	2018-08-24 19:26:43.9	0:00:13	bottom	N	
asgeir	2018-08-24 19:26:43.9	2018-08-24 19:34:10.8	0:07:27	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 19:49:31.1	2018-08-24 19:49:40.3	0:00:09	bottom	N	
asgeir	2018-08-24 19:53:36.1	2018-08-24 19:53:45.0	0:00:09	bottom	N	
asgeir	2018-08-24 19:56:20.6	2018-08-24 19:56:28.5	0:00:08	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 19:58:21.3	2018-08-24 19:58:29.3	0:00:08	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 20:11:49.9	2018-08-24 20:11:58.9	0:00:09	descent	N	
asgeir	2018-08-24 20:14:32.9	2018-08-24 20:14:40.3	0:00:07	bottom	N	
asgeir	2018-08-24 20:23:52.7	2018-08-24 20:24:10.9	0:00:18	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 20:29:23.8	2018-08-24 20:29:30.9	0:00:07	subsurface	N	
asgeir	2018-08-24 20:29:44.5	2018-08-24 20:29:52.6	0:00:08	subsurface	N	
asgeir	2018-08-24 20:31:17.2	2018-08-24 20:31:24.6	0:00:07	subsurface	N	i feel pretty good about this one
asgeir	2018-08-24 20:31:45.3	2018-08-24 20:31:50.9	0:00:06	subsurface	N	
asgeir	2018-08-24 20:42:12.4	2018-08-24 20:42:30.5	0:00:18	descent	N	
asgeir	2018-08-24 21:09:09.8	2018-08-24 21:09:17.2	0:00:07	descent	N	
asgeir	2018-08-24 21:10:30.3	2018-08-24 21:10:49.4	0:00:19	descent	N	
asgeir	2018-08-24 21:13:07.0	2018-08-24 21:13:19.3	0:00:12	descent	N	i feel pretty good about this one
asgeir	2018-08-24 21:13:19.3	2018-08-24 21:28:28.2	0:15:09	descent	N	
asgeir	2018-08-24 21:30:29.9	2018-08-24 21:30:35.5	0:00:06	descent	N	
asgeir	2018-08-24 21:31:45.7	2018-08-24 21:31:53.2	0:00:08	descent	N	
asgeir	2018-08-24 21:32:05.4	2018-08-24 21:32:10.9	0:00:06	descent	N	
asgeir	2018-08-24 21:32:14.3	2018-08-24 21:32:28.5	0:00:14	bottom	N	
asgeir	2018-08-24 21:33:34.0	2018-08-24 21:33:44.7	0:00:11	bottom	N	
asgeir	2018-08-24 21:34:50.1	2018-08-24 21:35:03.1	0:00:13	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 21:42:39.6	2018-08-24 21:42:54.8	0:00:15	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 21:52:03.9	2018-08-24 21:52:10.8	0:00:07	descent	N	
asgeir	2018-08-24 21:52:27.8	2018-08-24 21:52:43.0	0:00:15	bottom	Y	
asgeir	2018-08-24 21:55:05.9	2018-08-24 21:55:19.9	0:00:14	bottom	Y	i feel pretty good about this one
asgeir	2018-08-24 21:55:28.9	2018-08-24 21:55:38.7	0:00:10	bottom	Y	i feel pretty good about this one
asgeir	2018-08-24 21:57:22.3	2018-08-24 21:57:27.5	0:00:05	bottom	Y	i feel pretty good about this one
asgeir	2018-08-24 21:58:27.9	2018-08-24 21:58:35.5	0:00:08	bottom	Y	
asgeir	2018-08-24 22:03:46.2	2018-08-24 22:04:09.2	0:00:23	ascent	N	i feel pretty good about this one 
asgeir	2018-08-24 22:10:33.7	2018-08-24 22:10:41.8	0:00:08	descent	N	
